Id,Category
1,26
2,12
3,9
4,18
5,16
6,18
7,12
8,14
9,7
10,2
11,12
12,1
13,26
14,24
15,7
16,1
17,1
18,12
19,4
20,11
21,7
22,13
23,15
24,12
25,21
26,13
27,16
28,5
29,13
30,5
31,13
32,3
33,5
34,15
35,7
36,26
37,12
38,16
39,18
40,13
41,26
42,13
43,12
44,23
45,16
46,11
47,21
48,1
49,18
50,7
51,8
52,23
53,24
54,15
55,25
56,1
57,22
58,7
59,5
60,3
61,11
62,16
63,19
64,19
65,12
66,8
67,17
68,24
69,23
70,26
71,18
72,10
73,8
74,11
75,21
76,21
77,24
78,12
79,22
80,20
81,5
82,25
83,1
84,26
85,19
86,19
87,22
88,11
89,10
90,3
91,16
92,1
93,12
94,4
95,13
96,16
97,20
98,16
99,18
100,21
101,5
102,20
103,24
104,22
105,5
106,24
107,8
108,7
109,7
110,26
111,18
112,5
113,8
114,7
115,15
116,3
117,18
118,12
119,11
120,2
121,26
122,24
123,13
124,13
125,3
126,16
127,1
128,5
129,17
130,11
131,19
132,26
133,4
134,8
135,16
136,4
137,19
138,18
139,23
140,1
141,23
142,23
143,5
144,1
145,26
146,1
147,13
148,23
149,21
150,12
151,21
152,22
153,2
154,13
155,8
156,13
157,8
158,12
159,26
160,26
161,21
162,10
163,22
164,24
165,23
166,15
167,26
168,18
169,25
170,4
171,16
172,12
173,4
174,21
175,12
176,3
177,22
178,7
179,15
180,7
181,12
182,13
183,24
184,7
185,6
186,12
187,8
188,12
189,21
190,4
191,21
192,12
193,17
194,19
195,25
196,7
197,7
198,25
199,22
200,5
201,11
202,12
203,1
204,21
205,16
206,8
207,19
208,2
209,1
210,26
211,13
212,26
213,1
214,19
215,23
216,21
217,4
218,22
219,6
220,4
221,18
222,11
223,17
224,15
225,11
226,4
227,12
228,19
229,18
230,23
231,1
232,20
233,20
234,24
235,5
236,18
237,7
238,12
239,12
240,5
241,22
242,12
243,16
244,7
245,7
246,7
247,13
248,10
249,23
250,8
251,12
252,4
253,22
254,21
255,7
256,21
257,15
258,10
259,18
260,19
261,7
262,24
263,23
264,1
265,11
266,8
267,14
268,11
269,5
270,13
271,12
272,10
273,25
274,7
275,20
276,26
277,26
278,14
279,4
280,16
281,7
282,7
283,26
284,4
285,5
286,21
287,6
288,16
289,13
290,12
291,13
292,13
293,23
294,22
295,15
296,15
297,25
298,26
299,4
300,3
301,7
302,23
303,2
304,16
305,4
306,5
307,14
308,19
309,17
310,11
311,19
312,11
313,7
314,26
315,13
316,21
317,7
318,10
319,26
320,18
321,15
322,2
323,15
324,5
325,23
326,24
327,15
328,15
329,16
330,25
331,8
332,13
333,13
334,22
335,5
336,5
337,4
338,19
339,5
340,13
341,11
342,13
343,1
344,7
345,5
346,25
347,5
348,6
349,11
350,18
351,20
352,6
353,12
354,8
355,12
356,1
357,12
358,6
359,1
360,11
361,4
362,25
363,1
364,7
365,18
366,5
367,10
368,5
369,20
370,17
371,12
372,3
373,13
374,6
375,12
376,26
377,20
378,10
379,3
380,12
381,12
382,10
383,22
384,21
385,22
386,17
387,22
388,5
389,12
390,12
391,6
392,6
393,2
394,3
395,24
396,8
397,10
398,11
399,8
400,24
401,12
402,25
403,1
404,6
405,1
406,5
407,24
408,24
409,5
410,21
411,3
412,4
413,8
414,23
415,18
416,7
417,25
418,19
419,20
420,18
421,21
422,24
423,12
424,23
425,21
426,15
427,6
428,13
429,12
430,18
431,23
432,22
433,7
434,12
435,13
436,7
437,4
438,10
439,15
440,23
441,25
442,12
443,24
444,19
445,17
446,26
447,22
448,7
449,19
450,8
451,6
452,12
453,20
454,12
455,13
456,21
457,12
458,18
459,18
460,23
461,11
462,25
463,12
464,17
465,11
466,15
467,1
468,3
469,5
470,25
471,15
472,15
473,19
474,3
475,15
476,18
477,20
478,7
479,25
480,16
481,22
482,4
483,1
484,11
485,16
486,8
487,8
488,7
489,8
490,5
491,13
492,12
493,7
494,16
495,1
496,12
497,22
498,23
499,14
500,25
501,19
502,5
503,20
504,15
505,18
506,7
507,24
508,13
509,3
510,4
511,12
512,21
513,24
514,18
515,21
516,10
517,7
518,23
519,24
520,22
521,15
522,5
523,13
524,5
525,23
526,12
527,5
528,2
529,6
530,6
531,21
532,13
533,7
534,14
535,26
536,23
537,18
538,11
539,13
540,3
541,22
542,13
543,22
544,21
545,1
546,18
547,4
548,5
549,26
550,16
551,7
552,9
553,2
554,15
555,16
556,18
557,13
558,15
559,21
560,15
561,13
562,7
563,11
564,12
565,12
566,12
567,13
568,12
569,12
570,4
571,4
572,1
573,10
574,5
575,16
576,2
577,8
578,5
579,26
580,1
581,26
582,23
583,10
584,25
585,26
586,7
587,26
588,12
589,26
590,12
591,19
592,17
593,18
594,6
595,13
596,13
597,7
598,6
599,13
600,12
601,14
602,23
603,18
604,12
605,3
606,4
607,15
608,7
609,15
610,11
611,4
612,10
613,26
614,2
615,19
616,23
617,8
618,16
619,12
620,6
621,15
622,8
623,5
624,15
625,21
626,10
627,22
628,18
629,26
630,26
631,14
632,3
633,15
634,15
635,7
636,15
637,18
638,13
639,13
640,4
641,19
642,13
643,25
644,2
645,23
646,14
647,18
648,7
649,1
650,7
651,11
652,14
653,1
654,4
655,18
656,10
657,23
658,13
659,12
660,3
661,23
662,19
663,22
664,15
665,1
666,1
667,3
668,12
669,18
670,25
671,21
672,8
673,12
674,12
675,13
676,10
677,21
678,18
679,16
680,4
681,22
682,13
683,21
684,10
685,5
686,12
687,25
688,7
689,6
690,18
691,1
692,18
693,15
694,4
695,2
696,11
697,15
698,8
699,23
700,15
701,2
702,19
703,14
704,17
705,12
706,6
707,3
708,10
709,16
710,12
711,22
712,10
713,25
714,12
715,22
716,12
717,21
718,11
719,6
720,24
721,21
722,8
723,2
724,3
725,23
726,4
727,13
728,8
729,26
730,23
731,17
732,24
733,13
734,12
735,21
736,23
737,17
738,6
739,1
740,4
741,19
742,2
743,13
744,7
745,24
746,17
747,15
748,26
749,13
750,22
751,23
752,23
753,5
754,2
755,19
756,23
757,1
758,1
759,6
760,4
761,13
762,26
763,1
764,25
765,16
766,4
767,15
768,19
769,15
770,14
771,17
772,2
773,1
774,24
775,26
776,5
777,18
778,20
779,21
780,24
781,23
782,7
783,12
784,12
785,7
786,16
787,5
788,5
789,1
790,19
791,17
792,17
793,7
794,19
795,24
796,20
797,17
798,12
799,13
800,23
801,2
802,1
803,2
804,26
805,5
806,12
807,25
808,10
809,11
810,23
811,3
812,5
813,2
814,13
815,23
816,7
817,5
818,4
819,13
820,4
821,20
822,9
823,13
824,5
825,11
826,21
827,16
828,22
829,11
830,9
831,24
832,26
833,12
834,18
835,6
836,26
837,12
838,18
839,19
840,6
841,13
842,13
843,4
844,22
845,19
846,26
847,25
848,13
849,17
850,6
851,5
852,19
853,24
854,12
855,13
856,3
857,7
858,11
859,17
860,24
861,10
862,9
863,15
864,12
865,23
866,21
867,9
868,12
869,24
870,24
871,23
872,3
873,17
874,12
875,8
876,4
877,22
878,7
879,7
880,1
881,12
882,18
883,23
884,5
885,17
886,7
887,15
888,13
889,6
890,5
891,18
892,5
893,23
894,22
895,12
896,26
897,8
898,8
899,23
900,8
901,20
902,24
903,25
904,12
905,1
906,12
907,15
908,16
909,15
910,23
911,17
912,25
913,7
914,3
915,19
916,11
917,4
918,7
919,7
920,5
921,5
922,2
923,12
924,10
925,15
926,7
927,5
928,8
929,7
930,13
931,12
932,23
933,15
934,13
935,22
936,8
937,12
938,25
939,11
940,23
941,15
942,19
943,8
944,2
945,13
946,23
947,26
948,2
949,22
950,21
951,7
952,22
953,18
954,11
955,12
956,7
957,6
958,8
959,11
960,12
961,1
962,5
963,7
964,26
965,7
966,22
967,5
968,7
969,26
970,12
971,17
972,5
973,23
974,18
975,4
976,22
977,7
978,19
979,26
980,23
981,5
982,13
983,26
984,15
985,16
986,19
987,25
988,21
989,12
990,7
991,11
992,1
993,26
994,23
995,7
996,13
997,26
998,11
999,5
1000,14
1001,18
1002,15
1003,7
1004,19
1005,12
1006,15
1007,6
1008,8
1009,18
1010,12
1011,16
1012,1
1013,25
1014,16
1015,25
1016,22
1017,26
1018,4
1019,25
1020,18
1021,12
1022,5
1023,21
1024,12
1025,15
1026,9
1027,11
1028,23
1029,23
1030,23
1031,19
1032,7
1033,16
1034,5
1035,25
1036,8
1037,25
1038,18
1039,5
1040,18
1041,12
1042,6
1043,12
1044,12
1045,3
1046,6
1047,5
1048,12
1049,17
1050,20
1051,22
1052,5
1053,21
1054,13
1055,19
1056,13
1057,26
1058,8
1059,4
1060,5
1061,26
1062,16
1063,13
1064,12
1065,7
1066,26
1067,25
1068,13
1069,23
1070,26
1071,23
1072,18
1073,1
1074,20
1075,2
1076,2
1077,21
1078,21
1079,7
1080,21
1081,21
1082,23
1083,4
1084,4
1085,5
1086,6
1087,26
1088,8
1089,15
1090,18
1091,8
1092,13
1093,20
1094,13
1095,17
1096,19
1097,11
1098,15
1099,12
1100,8
1101,25
1102,20
1103,12
1104,18
1105,9
1106,17
1107,24
1108,24
1109,1
1110,2
1111,12
1112,22
1113,13
1114,13
1115,26
1116,26
1117,2
1118,6
1119,5
1120,25
1121,22
1122,8
1123,20
1124,21
1125,12
1126,26
1127,24
1128,7
1129,8
1130,6
1131,12
1132,15
1133,17
1134,2
1135,22
1136,12
1137,18
1138,3
1139,15
1140,7
1141,16
1142,23
1143,15
1144,26
1145,26
1146,23
1147,24
1148,1
1149,16
1150,2
1151,3
1152,1
1153,21
1154,7
1155,3
1156,19
1157,15
1158,1
1159,16
1160,17
1161,23
1162,26
1163,16
1164,9
1165,19
1166,3
1167,21
1168,20
1169,11
1170,13
1171,4
1172,23
1173,1
1174,20
1175,7
1176,16
1177,7
1178,25
1179,16
1180,15
1181,22
1182,12
1183,6
1184,10
1185,13
1186,18
1187,23
1188,15
1189,15
1190,15
1191,10
1192,1
1193,10
1194,19
1195,6
1196,22
1197,1
1198,12
1199,14
1200,12
1201,18
1202,12
1203,21
1204,24
1205,16
1206,19
1207,4
1208,23
1209,11
1210,21
1211,7
1212,4
1213,20
1214,20
1215,10
1216,7
1217,22
1218,16
1219,8
1220,15
1221,24
1222,1
1223,6
1224,23
1225,2
1226,26
1227,13
1228,2
1229,25
1230,11
1231,2
1232,25
1233,21
1234,26
1235,26
1236,18
1237,21
1238,23
1239,16
1240,12
1241,9
1242,13
1243,2
1244,12
1245,12
1246,22
1247,6
1248,17
1249,25
1250,26
1251,6
1252,12
1253,11
1254,14
1255,9
1256,21
1257,26
1258,26
1259,20
1260,21
1261,12
1262,14
1263,25
1264,5
1265,25
1266,11
1267,7
1268,12
1269,21
1270,25
1271,13
1272,21
1273,14
1274,22
1275,13
1276,1
1277,18
1278,15
1279,3
1280,20
1281,16
1282,3
1283,26
1284,25
1285,18
1286,13
1287,7
1288,12
1289,5
1290,6
1291,4
1292,6
1293,21
1294,26
1295,14
1296,11
1297,14
1298,5
1299,8
1300,19
1301,24
1302,13
1303,25
1304,5
1305,13
1306,1
1307,22
1308,5
1309,24
1310,19
1311,16
1312,2
1313,8
1314,9
1315,7
1316,19
1317,23
1318,15
1319,12
1320,16
1321,2
1322,11
1323,17
1324,26
1325,25
1326,20
1327,18
1328,10
1329,19
1330,18
1331,26
1332,24
1333,13
1334,18
1335,23
1336,9
1337,23
1338,13
1339,18
1340,6
1341,17
1342,21
1343,25
1344,7
1345,20
1346,24
1347,12
1348,12
1349,13
1350,2
1351,22
1352,25
1353,4
1354,16
1355,11
1356,7
1357,26
1358,16
1359,12
1360,5
1361,9
1362,24
1363,11
1364,13
1365,14
1366,14
1367,6
1368,5
1369,25
1370,15
1371,7
1372,11
1373,23
1374,12
1375,7
1376,22
1377,3
1378,21
1379,25
1380,8
1381,4
1382,3
1383,4
1384,25
1385,6
1386,17
1387,11
1388,15
1389,5
1390,8
1391,2
1392,12
1393,20
1394,22
1395,23
1396,5
1397,12
1398,12
1399,22
1400,2
1401,4
1402,8
1403,20
1404,15
1405,8
1406,15
1407,15
1408,24
1409,18
1410,11
1411,6
1412,23
1413,24
1414,21
1415,16
1416,23
1417,13
1418,15
1419,7
1420,1
1421,23
1422,5
1423,13
1424,16
1425,7
1426,4
1427,25
1428,8
1429,21
1430,23
1431,18
1432,4
1433,8
1434,2
1435,21
1436,4
1437,24
1438,11
1439,26
1440,13
1441,24
1442,6
1443,4
1444,13
1445,13
1446,12
1447,11
1448,14
1449,3
1450,18
1451,21
1452,1
1453,5
1454,21
1455,13
1456,12
1457,22
1458,22
1459,14
1460,11
1461,5
1462,12
1463,14
1464,24
1465,5
1466,12
1467,19
1468,23
1469,8
1470,13
1471,12
1472,15
1473,6
1474,4
1475,13
1476,26
1477,7
1478,4
1479,23
1480,3
1481,16
1482,23
1483,2
1484,13
1485,21
1486,7
1487,22
1488,13
1489,19
1490,3
1491,14
1492,12
1493,9
1494,4
1495,13
1496,2
1497,20
1498,21
1499,11
1500,18
1501,8
1502,25
1503,26
1504,26
1505,4
1506,3
1507,23
1508,4
1509,15
1510,10
1511,3
1512,5
1513,7
1514,16
1515,13
1516,16
1517,17
1518,26
1519,23
1520,12
1521,11
1522,5
1523,13
1524,16
1525,19
1526,3
1527,25
1528,23
1529,12
1530,22
1531,13
1532,22
1533,11
1534,13
1535,26
1536,7
1537,16
1538,15
1539,5
1540,11
1541,24
1542,11
1543,18
1544,13
1545,7
1546,19
1547,12
1548,2
1549,18
1550,15
1551,6
1552,12
1553,23
1554,21
1555,12
1556,25
1557,20
1558,12
1559,15
1560,18
1561,3
1562,23
1563,26
1564,9
1565,3
1566,25
1567,16
1568,20
1569,26
1570,12
1571,2
1572,14
1573,3
1574,5
1575,15
